gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
RFC2,12.0644,37.0969,37.7165,17.687952631579,26.8764,16.201925,13.47165,14.1136,23.2411,30.4304,31.228,21.8087,13.6381,28.0635,21.03225,27.9563,18.5656,10.6076,17.7094,20.9351666666667,42.3385,27.4644,14.4589,14.611,10.9286
HSPA6,31.26895,413.0212,75.9108,38.3080421052632,28.8424,44.409325,72.2951,30.2488,42.863,93.5754,100.3914,38.6599,41.2363,47.5787,55.31955,63.3304,42.265,28.805,27.9027,40.4157,80.3326,26.2705,31.0829,58.978,53.1152
PAX8,76.3388,65.028,94.1205,68.5771947368421,86.609,83.437875,88.36045,230.7485,84.7725,71.6662,92.587,70.5684,98.2926,64.1054,87.1064,68.3544,67.8862,66.5656,86.4805,69.6032333333333,75.8741,469.7509,91.9183,76.082,58.5405
GUCA1A,32.0782,26.4668,24.8856,34.5847,34.5497,49.113125,46.46235,31.5713,29.4988,20.5648,21.453,28.0893,32.6808,22.5758,18.3094,32.5778,32.7393,25.1655,38.398,104.605566666667,24.5045,26.2524,23.794,25.1292,28.5
THRA,33.90475,23.932,36.6915,55.5085736842105,24.636,32.7355,40.4181,36.5522,28.3345,23.8387,24.9887,17.2865,38.7409,30.0668,26.8849,20.1545,23.509,42.3283,30.8015,23.7151333333333,20.5744,31.3624,44.5358,28.3768,32.2815
PTPN21,15.629,11.7262,8.9067,12.0170052631579,9.5595,17.9719,20.71785,15.429,16.4759,22.5524,13.0975,15.4207,21.2333,10.4446,16.8108,28.3312,12.004,20.1561,13.0637,29.9771,14.1854,12.879,18.9564,7.5979,14.6069
CCL5,37.4146,1382.2104,142.7789,24.6033736842105,39.0572,37.62405,66.00035,31.2596,38.6186,234.1549,230.9085,23.35255,29.2886,63.5727,51.62085,38.7787,45.7313,68.3976,31.3303,21.7845666666667,68.6487,53.5299,41.6366,79.0865,38.29
CYP2E1,14.37485,9.043,12.7613,18.4540368421053,25.0898,23.732175,13.52585,23.5274,4276.8922,14.506,15.1929,12.55055,20.1352,28.1787,12.8247,9.2583,29.5815,15.1877,22.4756,21.3439333333333,9.241,11.7033,14.7168,9.1549,22.5947
EPHB3,28.00305,30.6001,33.0658,46.4254789473684,33.0753,41.5335,49.79165,79.4243,61.0109,71.8726,33.911,39.53285,45.445,44.115,61.85285,74.079,95.2702,38.3413,69.2703,40.6672333333333,35.1157,28.6944,74.3066,102.6714,53.8467
ESRRA,93.71325,76.386,68.1485,79.9651157894737,82.7015,71.11245,124.10825,120.0315,152.4325,83.5896,76.9834,107.74055,71.6058,88.8553,95.9212,100.3576,72.201,67.3098,39.262,57.1915333333333,77.7728,76.5867,84.6676,80.0716,57.0442
CYP2A6,104.90195,57.124,114.0552,86.3852052631579,90.7667,101.076175,106.24675,78.5387,3401.5638,80.1314,75.1376,92.6924,105.4538,63.0461,79.2166,75.2805,64.3756,92.8066,80.6604,79.2438666666667,74.0711,71.6938,104.5167,88.6355,77.7585
GAS6,202.0639,95.0886,137.1197,224.684389473684,217.4557,243.5081,479.46855,267.6809,210.2887,856.1558,261.4502,229.92565,235.2515,223.9154,223.39565,319.4727,389.4509,131.5609,325.5215,292.7911,352.9091,423.9885,261.0537,278.0167,345.0705
MMP14,86.68495,47.9211,87.8859,72.0710315789474,104.6255,93.606375,95.27315,106.8249,58.7969,80.3798,63.054,205.9882,119.6266,74.2888,85.01465,125.4132,76.6291,75.4067,123.0266,79.6727333333334,60.6026,41.9804,92.0727,89.7254,158.0625
TRADD,20.40175,87.842,25.5955,23.1820789473684,23.5556,42.3003,59.0503,54.7759,61.1849,130.9062,79.4063,34.01765,17.6782,59.1985,27.68935,70.6088,86.6964,33.8594,48.7864,22.3430666666667,66.6978,57.3727,55.7914,44.3606,26.5512
CHURC1-FNTB,55.3157,66.2926,50.2622,59.4874315789474,65.2695,60.574025,77.7594,68.4565,51.1282,68.9233,48.3967,42.30055,41.6732,65.9092,32.7132,77.6496,59.0121,32.8943,16.0853,58.1311666666667,66.758,36.8342,36.9606,58.8319,41.0686
PLD1,39.6703,18.2516,32.6081,25.0925210526316,32.3979,37.77785,31.98785,27.5304,35.3148,27.1646,34.5557,23.63605,43.9846,46.4392,30.41915,21.5311,28.9841,35.2007,50.1233,27.7204,21.6897,15.948,50.0025,25.8569,30.3671
BAD,42.719,43.4909,24.6866,60.4518368421053,20.2348,18.12845,63.84575,59.756,104.2984,126.0495,19.2172,48.55115,21.7221,20.7494,24.89065,89.6335,87.7862,20.0621,16.0995,42.3834666666667,82.1914,87.1142,25.9421,24.7034,44.9475
PRPF8,256.7659,213.3328,148.1726,201.6617,104.3798,64.030675,120.1101,164.4978,198.3068,297.1557,225.3867,165.05465,193.6702,186.1025,174.41345,295.1116,215.5396,126.3266,94.4252,303.4647,395.7893,178.437,103.8365,126.8409,154.5878
CAPNS1,325.81615,936.7508,360.0487,389.7138,154.3868,150.745,582.43475,701.1538,610.6019,1198.8169,298.0961,555.90035,347.806,318.3982,330.42465,468.147,619.3611,53.6189,96.9841,407.747633333333,566.5028,756.5577,274.8494,597.1908,231.5277
RPL35,1046.78925,1368.8514,859.1809,594.259542105263,1074.066,247.626525,1133.3674,766.7243,2126.3925,1884.0429,1579.849,1278.6026,1767.2952,1188.3574,1819.6761,685.2832,1358.9259,1570.9938,733.3817,767.485666666667,2186.0289,781.5318,950.3424,912.2658,1202.7808
EIF4G2,216.94415,529.587,146.6069,274.442436842105,138.8321,129.829775,91.0298,174.5681,57.9881,149.5556,352.6281,359.3695,177.6288,333.9314,329.328,481.9869,217.0364,277.0254,179.271,212.987033333333,358.4431,331.6587,252.8805,257.2727,324.2013
EIF3D,160.58305,425.8664,253.142,104.478231578947,94.807,66.106125,151.3244,163.0997,188.0972,250.8328,328.0242,282.02585,218.7385,299.8208,369.3608,245.8116,195.661,304.5873,168.2468,221.624766666667,454.1667,238.4185,168.9271,211.088,192.2672
PARK7,849.93365,855.3408,585.5784,774.811515789474,268.2863,230.770475,330.1712,873.9743,527.7552,647.6067,675.6609,698.23275,490.1206,469.1725,648.5296,554.468,595.5829,499.3196,195.3941,562.367966666667,931.0002,665.4157,280.8121,605.5164,299.4416
SRP14,421.17275,803.2522,460.4669,605.637984210526,318.7538,263.6401,252.16635,641.1475,253.1518,737.9764,611.1667,654.37925,499.803,474.6519,500.0676,636.4626,805.4373,483.4205,278.6582,513.0912,933.4008,636.1968,376.0561,424.769,580.5006
GDI2,194.68715,639.0965,211.3055,210.264963157895,130.5655,126.24695,111.5986,218.5526,196.7983,143.8013,310.7516,341.94655,259.7448,402.8354,351.6948,273.2148,153.0152,301.3567,179.2663,186.7967,270.176,166.6554,170.1967,265.4965,237.377
RPL11,745.65805,2767.1382,2069.8787,619.215694736842,998.8209,286.731575,240.74295,611.0499,187.1222,1549.9251,2515.6914,1384.14265,4128.0662,2250.672,2543.7422,907.7047,928.8841,1413.1305,808.3837,481.883,1786.4583,835.1462,967.0175,1430.0142,879.6
ARF3,174.51205,237.5008,162.3968,339.293763157895,72.9339,91.9996,105.2196,239.9403,122.4003,206.8715,112.9533,135.8964,105.3944,106.2973,156.9695,185.1668,146.8267,100.4768,73.9759,134.8738,237.3475,181.4036,83.8627,172.0278,70.7377
RPL24,1259.8916,1962.6186,819.6598,867.224947368421,1063.8468,455.42025,503.2306,813.8924,643.4848,1059.2151,2058.6475,1965.2258,3648.2144,1653.8687,2781.44865,864.9805,1225.6777,2012.9815,923.5352,619.985266666667,1953.964,1091.6532,1382.6074,1061.2171,1399.1599
HNRNPC,167.4092,333.5466,154.8833,145.401857894737,76.2924,74.8035,75.62435,161.4299,53.867,86.7672,185.2052,181.67975,136.9962,190.0311,187.17295,251.8312,95.1684,139.4451,98.4147,138.2874,351.0981,119.4715,74.8252,136.3232,120.4819
RPS27A,1291.66935,1828.1952,1147.9762,1066.90458947368,1145.9993,608.2919,535.9379,946.4788,568.6394,854.9537,4203.7934,2514.3691,5179.5568,3162.5249,3241.5223,1382.9068,1063.8983,2480.4864,1150.2785,687.7547,1592.0157,1529.5517,1775.3555,2059.465,1582.5309
FAU,1300.1082,2573.5584,1651.1421,862.909147368421,1554.4504,548.66235,1726.6226,910.4202,3009.0167,3709.8215,2874.6837,1248.87515,2504.8795,1854.7558,1997.87275,1320.7748,2012.057,1484.0717,1121.1483,1035.78026666667,3354.9786,1513.3082,1249.802,1056.4696,1728.8595
TARDBP,46.55315,131.6717,68.7987,81.4714105263158,30.5338,34.600175,39.05025,35.5059,24.4858,58.7772,129.8204,89.26295,53.3565,96.7865,98.25425,89.4676,65.6755,87.9363,57.5616,70.8586333333333,111.6351,125.7573,66.7626,82.2324,73.5419
CFL1,1634.4294,6204.3268,5686.7528,3239.34370526316,763.7161,594.91615,1824.22,2949.3975,3385.0392,4577.2295,2466.5044,3637.2177,981.0922,3708.261,2110.8426,3307.3267,3288.8951,1436.0797,887.0682,1949.77553333333,5363.836,1731.5762,1026.9389,2194.2756,1814.8491
RPL18,438.7135,653.1443,631.7892,260.850463157895,451.9376,168.307025,366.91145,248.2881,1078.8624,963.3984,659.4247,529.85315,1173.0988,725.0044,781.5176,480.6635,1007.8776,594.6439,446.5777,283.119266666667,880.8441,653.6461,544.3899,459.9652,564.9479
EIF3F,143.0904,467.7817,257.5606,103.641815789474,123.5298,70.12985,220.24995,181.1479,372.059,554.2076,318.9668,336.74885,265.7244,258.1411,265.414,258.7726,284.3268,216.0458,86.7957,259.016966666667,529.5708,311.7131,160.5896,145.5703,198.851
RPS5,908.91115,1265.6103,1011.7322,381.026805263158,467.3048,186.087025,1220.3357,677.7162,2980.5905,1837.2071,1842.0063,1489.90715,2204.9333,1093.6772,1447.6882,797.6493,1663.2758,1232.8743,567.1178,499.6559,2400.5254,918.8718,629.0726,768.1,1196.5982
RPL27,2212.56495,3217.987,2451.4096,1116.27711578947,1348.4183,606.82545,1197.28815,1502.1985,1543.2646,2387.7601,3557.1455,3035.00205,3406.6269,2666.0705,2977.61205,2223.1574,1611.5048,2558.5102,1779.292,1120.98996666667,3675.9905,1218.8033,2459.4524,1854.5544,1715.4148
RPL34,1216.15045,3349.065,1099.2267,873.349947368421,1308.2763,594.780125,473.15975,538.9705,301.2401,933.927,3122.9689,1702.5373,3195.2479,1909.2537,2162.65475,775.8816,1018.3902,2626.1145,1408.116,638.196266666667,1569.7737,887.2411,1405.5455,1471.1717,1386.6473
NARS,213.02265,316.7337,95.0709,384.468468421053,97.8356,105.7019,46.08945,221.1505,56.0151,104.0902,260.0984,302.01295,124.8588,211.8541,302.89835,183.5075,267.1136,241.5794,132.3558,116.066066666667,171.8181,339.4971,181.4306,248.2416,156.039
STARD7,343.26565,393.1426,291.3429,374.188442105263,96.5161,76.00715,126.44035,483.697,149.645,397.383,346.6799,221.9695,41.4663,318.0691,306.62695,283.9757,222.9448,363.1133,116.1147,147.1665,415.0785,219.8356,138.615,324.5318,96.4728
RPL19,1238.27595,3124.9993,1893.0853,817.288031578947,1084.6218,581.5307,937.504,954.1779,1963.9683,2593.8409,3327.7448,1884.68205,3577.6666,2250.0632,2801.1106,1441.1548,1851.4527,2708.0804,1653.5365,1158.44513333333,3314.0422,1340.8404,2165.0032,1803.0376,1542.586
SLC25A3,1136.5112,796.4928,746.5819,635.230484210526,248.4322,244.439025,1429.89015,1165.5037,1342.8815,1551.1753,609.9812,1226.68185,382.1428,670.0348,732.08505,924.6051,934.2805,855.4157,346.0212,352.752266666667,1209.1001,974.295,699.8424,637.9289,559.4988
RPL9,1986.918,3452.2832,1917.3672,1312.47674736842,2693.9852,895.9634,1165.75935,1649.0401,1164.9823,2089.4504,4138.8624,2476.07,5702.4732,2746.9782,3377.03005,1915.8284,1694.643,3781.8482,2217.4534,1431.1744,3581.1803,1568.7314,2080.0976,2540.9368,2336.6802
RPL6,605.55815,1906.7963,395.1181,482.131884210526,532.1094,263.20205,233.1626,335.8823,212.4396,304.2243,1421.4731,1518.48695,1931.6654,1344.8909,1383.09675,585.11,577.0436,1531.0495,656.8879,268.193566666667,818.473,830.5517,1265.0488,725.9765,1003.0626
CTDNEP1,145.37645,186.5692,161.6272,148.692047368421,78.1232,96.853425,122.7522,168.6166,52.1492,163.204,94.9423,163.329,145.8104,146.1341,98.05925,188.3503,72.7525,150.9605,109.165,134.7153,141.0362,98.1241,131.6548,126.8155,103.4518
RPL10A,520.01455,1018.6631,695.7227,303.827194736842,509.8024,205.736575,317.31295,482.2706,586.6955,1012.2591,1480.1647,917.5743,2171.3325,952.8251,1207.3804,542.1646,840.0607,1095.3103,580.0258,223.819066666667,1576.253,472.5561,534.3274,763.003,723.7144
CBX3,75.7194,170.3671,77.8745,80.4284736842105,74.5368,46.391675,27.82,41.67,23.3501,32.6424,145.9804,113.9967,71.5483,113.126,83.53905,83.6723,66.286,119.2848,46.7074,116.611066666667,131.9652,144.7864,61.8882,76.2901,114.5102
RPL17-C18orf32,863.7488,1690.9629,478.7513,477.1716,785.4719,304.8934,279.63395,252.5541,105.6663,371.1681,1943.6612,1771.9225,2985.3005,1624.9373,1936.581,511.3413,759.0069,1526.3387,775.6111,487.195933333333,868.8096,779.3974,857.0001,731.9792,1097.0164
PSMB2,297.45215,211.2205,254.8869,236.600094736842,288.8133,538.55405,512.98345,230.6729,322.2041,240.5344,205.2335,425.2199,501.2979,283.0041,222.15885,283.9143,167.1364,429.27,670.6456,299.083366666667,413.9101,152.0821,466.4653,277.3176,188.8131
KHDRBS1,110.8694,262.567,170.3403,129.495778947368,97.9743,71.346125,57.3032,97.4126,86.0702,154.4737,170.8893,132.13205,122.4669,160.3235,144.61635,194.2992,209.6705,99.5608,98.7782,136.677366666667,276.6482,188.3777,91.8885,171.2312,157.0793
ATP6V1G2-DDX39B,142.4937,242.0604,146.8126,118.005321052632,62.573,48.007725,62.3911,79.1031,35.5385,86.4827,288.2691,169.589,155.5962,205.6178,138.04445,154.0701,70.7436,92.1237,53.1614,129.4195,304.0807,167.9578,118.3465,108.5056,147.7268
RTCB,209.30815,139.2304,227.9711,193.078357894737,152.9079,142.583,85.78515,316.9698,180.2049,328.7642,189.1568,258.1275,159.6095,245.0761,220.4547,240.1699,292.231,138.7908,163.7994,211.744466666667,319.2486,223.7307,285.7319,191.6786,183.9668
ERH,385.76165,502.9147,436.3443,318.028363157895,82.7547,87.8958,118.2872,312.3219,167.3798,329.3252,341.6053,462.2929,205.8824,429.8129,390.67035,385.0339,294.0298,363.6367,84.3406,326.535366666667,698.4042,336.3014,150.2683,416.3545,236.5835
GATC,182.29525,277.5854,228.9221,148.506031578947,81.9134,85.607925,67.37115,234.3036,177.6315,352.8393,172.0886,205.64295,123.0879,203.5006,204.6089,296.775,278.4797,131.5827,110.4083,211.447866666667,366.6431,201.3371,111.1406,186.0393,108.2264
ABCF1,156.9561,187.0716,158.8938,141.3488,154.2805,126.5041,116.8191,176.9015,220.4811,192.809,150.9718,118.39725,141.8086,158.4586,167.4032,267.0016,186.9821,108.759,125.8122,227.63,209.1644,140.3065,121.9626,127.0824,155.0066
DAD1,274.1266,308.1246,246.375,216.646594736842,141.0504,143.228275,160.20475,460.1083,226.6872,234.9163,267.1696,406.81775,213.7709,184.6874,355.30165,295.1116,109.5948,259.3924,93.1316,270.4433,475.3253,230.2908,134.8628,300.788,205.6471
YY1,96.2093,198.3068,105.8584,78.7348894736842,63.0556,55.1681,49.4968,81.4436,74.2891,127.412,97.1677,95.91675,56.7545,98.2674,88.8191,183.2986,170.0643,61.6462,61.8462,100.9054,211.8304,183.5712,71.1666,121.9346,96.8371
JTB,496.33935,975.176,599.4133,448.991,176.2038,166.531525,368.04275,700.2973,1046.6735,1317.3597,532.7933,383.757,332.65,444.2107,596.8936,721.3005,1053.6701,499.8104,199.7282,304.752233333333,592.7882,823.7062,308.7663,817.8628,417.2171
KAT7,141.8488,122.583,154.5682,144.742452631579,196.2025,149.1946,133.20945,182.7585,125.9564,128.7904,120.295,87.4334,90.706,121.7153,125.3019,134.2075,112.9035,140.7046,187.283,274.7101,151.9554,137.0385,98.588,109.3255,142.0398
ZNF146,51.86565,83.3053,29.5231,63.4326157894737,37.3968,75.76485,60.8674,21.3499,18.6526,21.6227,79.6351,85.23555,49.8147,47.0604,88.0588,30.6419,45.2061,85.4173,84.3784,43.5072333333333,39.3219,83.7256,66.9723,49.0382,89.6
SART1,87.7383,123.0169,74.8095,80.6987684210526,61.2978,51.457975,57.63845,57.4935,64.458,114.4448,103.7191,89.28965,63.1538,69.9818,91.88105,107.9413,83.4533,66.7701,68.9965,78.6803333333333,140.9937,73.1378,90.9023,73.9513,69.902
ILF2,110.38505,100.4551,131.2284,79.4890210526316,42.3116,56.752525,58.9379,119.3514,28.6671,55.6676,89.5557,130.39265,73.7331,113.307,118.41375,132.9416,56.4321,95.1334,108.589,188.139033333333,263.4842,90.0566,59.6833,80.3449,55.0355
SPAG7,237.0223,259.6668,240.2315,263.6061,178.6155,167.61685,317.52435,282.5644,273.158,327.1133,220.9151,304.93065,169.1308,226.1861,210.79245,286.7044,171.7646,182.399,150.0039,212.6938,250.1645,210.9843,268.1499,151.6015,209.871
ZPR1,44.5886,52.317,65.163,51.7332842105263,46.7305,68.946775,54.9209,48.6985,52.6195,58.136,46.1089,50.42985,44.4791,42.124,47.185,37.7217,38.628,51.6397,51.5184,83.7543666666667,51.4095,40.9885,80.598,39.3145,54.7051
TAF10,385.8756,1063.6041,427.7992,264.460273684211,180.3423,153.180625,425.5078,351.7341,588.267,646.5328,334.9915,367.982,264.0226,307.933,524.68245,300.2124,441.2679,245.1289,172.4582,630.8041,461.8568,450.1022,304.5494,253.4531,201.2284
C1D,31.0978,68.9872,41.7702,35.3400631578947,9.4754,30.9766,19.6807,39.2138,23.5165,32.4741,54.4073,28.7957,41.5583,24.2542,41.6329,43.4494,57.8501,37.3435,33.521,35.7904,32.6089,52.5652,14.1925,42.8099,25.9927
NONO,237.00815,369.1497,326.7927,172.880915789474,109.5839,95.055425,110.1407,238.0131,173.6126,271.0182,292.1618,268.8313,206.2197,344.6544,351.1968,271.4387,181.7171,206.1224,106.3228,156.819433333333,707.3194,180.8368,108.4125,258.6687,224.8948
RHOA,684.76755,2139.8365,1300.6337,546.504410526316,377.5454,355.266125,586.10605,601.074,724.8575,1268.4615,862.4675,876.0283,733.1916,842.3318,573.56995,1478.0161,465.8338,457.756,385.0566,555.236166666667,1735.8561,818.3118,417.1146,822.9852,616.6934
RNPS1,140.37605,277.5359,226.6973,205.451278947368,30.7994,56.006525,165.1037,128.6896,95.5399,365.3577,218.4506,119.14765,75.2165,161.8236,143.37205,227.7374,358.4382,104.5306,109.25,236.070566666667,406.3367,257.8697,130.2888,121.7884,114.3657
RPS24,1706.8277,4116.9901,1496.1892,1250.05385789474,1642.908,682.851025,552.0573,872.5383,308.903,900.0423,3261.0876,2871.88685,4437.0278,2687.9223,4141.37505,1084.1939,1852.8182,3421.1067,2020.4163,989.789466666667,2088.3084,1753.9939,2618.574,2309.2319,2362.6435
RPL30,1833.93525,6010.8612,2729.9349,1272.63682631579,2227.5305,817.64105,1089.77515,1590.4131,1495.4861,2865.3506,5072.4586,2730.42265,6828.5478,3248.155,4682.6468,1778.7324,1944.6221,4243.988,2335.1922,1820.92226666667,4562.9952,1542.2499,2304.7518,2992.818,2023.1214
NPM1,254.6821,448.8621,164.3252,242.4943,249.8786,156.7273,123.37535,179.1341,50.8529,103.2888,855.0288,736.2315,845.7001,647.9307,570.0598,261.3026,234.5428,567.5128,240.224,350.2,379.453,525.471,291.2487,423.6039,494.3203
HSP90AB1,654.86805,335.6989,382.7981,835.520152631579,260.396,349.747175,335.64605,523.5532,349.0531,342.9095,521.2054,763.6116,974.1121,540.882,886.38215,614.5966,344.4549,366.8591,289.6305,378.125066666667,692.2436,439.3878,310.6764,536.16,470.8603
IK,37.0224,205.7056,48.4974,77.3421105263158,42.4533,29.684825,58.78045,39.9034,25.3404,36.2569,120.3158,60.7121,98.5945,79.4761,73.37605,57.3138,48.9612,105.5366,13.6822,171.3687,100.1635,78.2026,49.4584,72.9345,64.6515
SNX3,446.05475,645.3763,921.1959,490.909147368421,260.6993,245.0327,290.05785,376.7328,287.7956,571.1699,392.2845,387.487,350.4106,374.8419,291.2245,465.4921,371.1446,305.3847,234.4342,340.446466666667,454.002,427.1871,269.6859,418.2261,307.1285
CANX,340.06935,286.3011,357.3905,374.269352631579,208.6415,198.3298,148.8944,449.3641,107.1318,189.5284,323.4279,439.7798,455.0249,314.5204,585.91655,873.908,300.7566,549.8525,194.4026,267.898266666667,276.4357,464.1269,165.0124,700.466,311.1853
SART3,35.1456,43.4339,34.7465,41.3000052631579,18.9035,27.70585,25.2141,40.3789,33.0607,72.2519,45.7761,35.5957,26.3639,42.4421,43.8323,77.8483,67.273,32.1691,30.7921,35.0272333333333,94.6119,42.709,24.1076,35.7088,45.1717
CNPPD1,63.73515,87.4614,58.9466,38.2576,36.2456,31.367925,39.53605,63.4544,44.6239,46.9801,44.757,45.5013,34.1527,32.243,27.3696,68.9229,49.5586,59.2539,55.9564,44.8544333333333,49.4763,55.6221,52.0826,39.9945,44.6437
SMNDC1,45.9646,146.9946,61.0365,42.3989684210526,18.26,33.423975,51.9147,46.1478,26.7399,63.4736,76.869,49.672,46.8939,44.6087,40.42125,76.697,69.5751,57.6918,52.7648,62.1310666666667,88.5008,63.5027,36.6602,38.7425,61.0116
HNRNPM,53.5504,124.8894,104.7969,78.6915052631579,46.1062,47.426575,41.1433,43.9231,45.1229,152.016,127.0335,98.2378,81.1616,134.4595,102.57215,119.9006,203.4798,69.8207,68.3544,80.5510333333333,224.9696,156.7731,86.3056,77.2117,116.8759
HNRNPD,84.25595,127.9038,121.279,86.0715736842105,74.3965,54.544275,52.0683,70.9662,58.8236,125.9801,138.4273,59.2851,86.0833,122.3516,99.542,122.367,135.3206,108.2301,62.2577,79.4045,272.7004,117.7963,78.8504,113.8526,94.061
RPL14,407.107,885.5147,427.7505,259.901389473684,359.5865,191.003825,226.9827,244.4968,409.5764,565.9726,911.6892,738.70065,935.3405,626.7316,948.2442,365.2697,468.6655,802.3421,460.1718,197.1688,572.5359,387.6366,664.0929,488.4458,446.8754
GUK1,96.6402,112.3411,140.6757,130.859426315789,50.6712,46.406625,99.35225,90.6566,159.1548,246.5291,63.3192,105.75145,81.7941,59.4179,77.6794,74.5215,130.9111,40.6067,70.9842,68.5259333333334,136.8087,120.8372,122.501,85.944,65.4538
KXD1,98.9054,106.2896,108.4193,89.6041789473684,75.2231,80.343975,97.0019,78.8008,76.4744,95.8034,110.364,86.7993,73.1122,120.2015,112.7494,81.9208,96.8917,88.7378,100.2088,103.400966666667,85.463,64.799,87.6433,80.0525,61.7431
OAZ1,906.72355,2712.3777,2070.5422,750.624152631579,244.31,229.4952,962.7976,768.1413,1179.1611,2174.715,994.1701,1204.8815,421.4242,938.9538,807.56405,1468.1094,922.1157,530.0548,315.2244,487.3586,1374.662,870.5574,477.2683,670.8053,442.8264
ATP6V0B,307.4347,1002.3126,277.5434,382.621489473684,112.332,100.66545,459.62985,497.3949,854.3816,832.1769,198.8694,174.40355,110.4157,188.4062,318.56175,599.0482,619.9125,148.1471,121.6574,180.975433333333,325.5792,411.6823,124.2298,163.7022,154.517
KARS,133.7584,390.3223,173.7349,149.784689473684,117.0255,105.143325,117.94015,152.5995,134.9902,202.899,253.2454,348.72435,123.7548,211.0643,350.83955,168.3771,223.0104,185.5805,160.9997,446.748133333333,364.5825,252.8833,207.8715,187.3379,156.4903
RPS6,1136.22515,2811.1486,1780.4167,779.700242105263,1281.6501,552.163825,508.89565,1048.3535,605.5947,954.3074,3094.1118,2065.9548,4117.3145,2495.5794,3008.00805,1090.235,1012.5573,2601.3333,1580.9141,1065.98983333333,2548.7154,1239.9458,1913.9166,1706.7915,1483.2411
RPS7,626.8753,1761.3317,610.5768,454.257763157895,677.8222,257.6202,216.04305,465.3418,196.7467,708.9965,1668.344,1220.38765,1910.4723,1396.3611,1546.4196,800.1997,800.8812,1525.3654,803.5066,667.112333333333,1173.3683,874.1329,958.0395,769.6825,874.9749
USP22,67.28805,68.8787,49.6551,91.2643105263158,35.1408,49.7764,71.6631,59.8079,71.3208,87.0317,56.5339,91.2869,43.7374,73.355,55.90565,73.1326,91.9582,39.5803,34.4699,50.8521,100.0785,74.9437,40.8516,46.8901,53.13
C11orf58,109.1867,233.6339,132.1306,143.703463157895,97.9861,74.116425,47.3586,103.3862,52.2524,103.7777,184.6228,139.76375,146.9603,153.9007,146.0089,207.7027,138.5133,184.2065,85.8514,124.369633333333,187.5278,235.7776,77.9228,177.1121,155.3193
COX4I1,419.1907,654.9179,476.4647,689.999094736842,299.6525,218.8601,1282.08315,725.2684,896.7838,683.5323,555.4283,603.67485,391.6795,474.6464,524.9368,548.9247,493.3583,502.024,283.0962,353.7559,818.8199,381.6955,517.4899,374.286,318.0896
TMED2,131.99645,167.7828,128.6896,81.7257842105263,51.2527,38.81455,40.38685,140.0998,99.8971,165.1435,114.014,215.2456,145.6034,104.7121,293.70865,261.0486,205.6134,257.942,59.3368,86.4992333333333,164.2554,190.4518,55.6478,306.2325,111.0719
NBEAL1,1532.32285,2621.0342,1848.2766,632.452410526316,1958.9697,582.1112,837.4639,882.8921,1769.0915,2650.6785,3126.7333,2482.894,4196.7397,2491.6673,3905.7182,1004.5347,2264.7671,2273.1917,1852.5566,806.313266666667,3101.4364,1268.6914,2057.868,1696.928,1649.7014
FNTA,69.54295,269.1551,63.7632,190.990557894737,66.2746,86.837375,50.67105,60.3464,22.6274,80.9929,207.6565,129.9538,96.8811,178.2289,182.78485,172.8142,175.1128,134.9141,73.1795,118.101,124.4768,178.9254,152.7565,91.6257,141.8215
RPS25,546.54795,1141.7485,754.0655,415.521168421053,378.3513,265.4227,325.2937,442.6505,337.0769,534.348,1557.408,797.424,1958.7576,1056.8845,1166.70655,539.2638,595.7142,1356.8454,601.4225,332.261666666667,934.3567,705.2225,490.741,708.2831,576.023
RPL37,1180.21395,3029.865,1853.0534,762.442494736842,1227.4256,516.31795,886.2367,872.34,1302.4446,1639.846,2760.025,2103.90795,3723.684,1909.879,2040.78755,900.2931,1223.5441,2059.1742,1559.6307,696.7445,2582.4343,891.1241,1555.3717,1314.3079,1119.5934
HINT1,324.62015,483.1464,332.0294,612.7275,218.356,226.7869,269.0901,572.7681,703.0082,527.6481,472.4032,552.61635,336.2071,544.7708,532.09605,241.4441,578.3347,497.4113,250.1292,400.8641,537.0379,458.9415,311.1053,429.3152,285.9497
EEF2,1607.8025,1810.5202,981.6054,1027.68619473684,611.8709,454.642775,1310.09765,1637.8315,2199.4312,2631.1957,1390.6402,2198.80015,2163.697,1552.5161,2737.3301,1409.0072,2129.2474,1322.5853,787.0861,1327.49443333333,1959.8909,1866.1788,1338.0858,1778.1817,1364.9316
RPS10,2511.17455,4810.8127,3192.4916,1449.40593684211,2005.222,751.355375,2707.4091,1855.6543,4852.3858,4239.2127,3761.6615,3300.61265,5344.9791,3456.0477,3794.8836,1999.4915,3244.293,3535.8565,1974.9222,2004.8718,4435.2469,1496.2267,2351.1609,2357.266,2080.962
ATP6V0E1,182.97995,566.014,249.0354,91.4772789473684,88.4812,83.830775,108.3244,397.1782,135.147,263.9362,162.0571,198.40565,143.154,176.2269,177.89695,278.1845,164.1515,169.4987,93.8335,116.8145,232.0366,197.4822,104.7623,225.5995,149.5123
